0;INEA E PCT TRANSPORTES EIRELI;FATURAS VENCIDAS;08/04/2026;12:59
1;Fatura;Emissao;CNPJ pagador;Nome pagador;ClienteABC;Cidade pagador;UF pagador;UnidResp;Vendedor;Banco;Valor;Vencimento;DiasAtraso;Saldo
2;0001614-4;27/04/21;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;55567,82;17/05/21;1787;558,46
2;0001690-0;01/06/21;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;32988,43;21/06/21;1752;613,86
2;0004749-0;02/07/24;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;22226,62;23/07/24;624;22226,62
2;0002683-2;19/07/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;25631,37;02/08/22;1345;25631,37
2;0002684-1;21/07/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;454,68;04/08/22;1343;454,68
2;0002685-9;21/07/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;156,27;04/08/22;1343;156,27
2;0005666-9;15/07/25;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;42042,99;05/08/25;246;42042,99
2;0002730-8;02/08/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;25330,31;16/08/22;1331;25330,31
2;0002752-9;09/08/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;30114,57;23/08/22;1324;30114,57
2;0002774-0;16/08/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;23608,00;30/08/22;1317;23608,00
2;0002797-9;23/08/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;29823,31;06/09/22;1310;29823,31
2;0002861-4;30/08/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;1119,06;13/09/22;1303;1119,06
2;0002863-1;30/08/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;1815,55;13/09/22;1303;1815,55
2;0002864-9;30/08/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;829,63;13/09/22;1303;829,63
2;0003887-3;05/09/23;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;32233,44;19/09/23;932;298,94
2;0002840-1;06/09/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;23941,41;20/09/22;1296;23941,41
2;0002862-2;13/09/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;552,27;27/09/22;1289;552,27
2;0005854-8;30/09/25;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;29553,94;21/10/25;169;29553,94
2;0004990-5;01/10/24;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;39337,17;22/10/24;533;536,76
2;0001985-2;12/10/21;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;35914,50;26/10/21;1625;142,33
2;0004007-0;17/10/23;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;39508,81;31/10/23;890;39508,81
2;0005025-3;17/10/24;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;45082,37;05/11/24;519;45082,37
2;0005914-5;21/10/25;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;21845,54;11/11/25;148;21845,54
2;0003013-9;01/11/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;37721,74;15/11/22;1240;370,10
2;0005063-6;29/10/24;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;13864,44;19/11/24;505;13864,44
2;0005064-4;31/10/24;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;46661,54;19/11/24;505;46661,54
2;0005994-3;18/11/25;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;19731,49;09/12/25;120;264,49
2;0003083-0;29/11/22;58514928002037;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;JOI;alexsand;CARTEIRA;33053,76;13/12/22;1212;42,24
2;0001353-6;14/12/20;24032700000126;PAPERFIT FITAS E EMBALAGENS EI;".2";ARAQUARI;SC;JOI;;BANCO ITAU S.A.;197,24;25/01/21;1899;197,24
2;0001547-4;29/03/21;24032700000126;PAPERFIT FITAS E EMBALAGENS EI;".2";ARAQUARI;SC;JOI;;CARTEIRA;171,40;12/04/21;1822;171,40
2;0004439-3;18/03/24;82183716000136;PLASBOHN IND DE PLASTICOS LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;2774,37;10/06/24;667;2774,37
2;0002886-0;26/09/22;23635798000496;SCHULZ COMPRESSORES LTDA;".2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;273,08;10/10/22;1276;273,08
2;0002497-0;16/05/22;23635798000143;SCHULZ COMPRESSORES SA;"C2";JOINVILLE;SC;JOI;DIVERSOS;BANCO ITAU S.A.;3949,36;30/06/22;1378;3949,36
